8284,2097,2087.00,2302
8329.5,2115,2088.50,2312.5
8295,2110,2062.00,2268
8135,2075,2035.00,2251.5
8127,2020,1992.00,2220
8212,2019,1988.00,2212
8175,1997,1939.00,2164
8121,1974,1926.00,2145
8145.5,1961,1914.00,2127.5
8215,1998,1932.00,2169.5
8124,2000.5,1905.00,2140.5
7990,1962.5,1884.00,2093
7859.5,1941,1836.00,2025.5
7859,1932,1854.00,2015.5
7846,1936,1858.00,2023
7765,1925,1832.00,1995
7710,1901,1820.00,2005
7759,1912,1862.00,2052
7823,1911,1875.00,2080
7815,1932,1888.00,2109
7780,1959.5,1890.00,2133
7606,1909,1851.00,2091
7670,1913,1881.50,2155
7660,1928,1906.00,2175
7608.5,1920.5,1923.00,2183
7536,1907,1892.50,2156
7635,1948,1901.00,2150
7613,1960,1919.50,2148
7642,1987,1946.00,2166
7615,1953,1934.00,2176
7583,1941.5,1923.00,2162
7693,1946,1922.00,2167
7750,1971.5,1934.00,2182.5
7724,1946.5,1923.00,2147.5
7735,1935,1920.00,2167.5
7692.5,1948.5,1941.00,2172.5
7789,1992,1989.00,2204.5
7805,2015.5,1993.00,2201
7743.5,1997.5,1979.00,2185
7865,2049.5,2023.00,2237
7954,2079,2044.00,2253
8010,2103,2044.00,2240
8010,2104,2028.00,2237
8050,2092,2030.00,2237
8046,2108,2037.00,2234
7991,2077,2013.00,2193
8138,2104,2070.50,2270
8100,2133.5,2083.00,2295
8130,2132,2086.00,2303.5
8030,2122,2060.00,2292.5
8065,2120,2084.50,2302.5
8025,2110,2079.00,2286
8037.5,2098,2089.00,2309.5
7985,2104,2082.00,2332.5
7851.5,2069,2066.00,2330
7791,2071,2061.00,2293
7801,2091,2090.00,2318.5
7897,2081,2092.00,2325
7874.5,2064,2071.00,2323
7929,2071,2063.50,2340
8111.5,2127,2117.00,2390
8165.5,2145,2126.00,2418.5
8059,2088,2053.50,2354
8032,2040,2017.50,2295
8085,2061,2011.50,2308
8090,2094,2032.50,2338
8145,2108.5,2045.00,2346
8089,2116,2035.50,2332
8069,2102,2018.00,2312
7970,2040.5,1984.00,2266
7939,2032,1970.00,2258
7959.5,2039.5,1995.00,2266
8084,2057,2045.00,2320.5
8051,2040,2035.00,2302
8100,2046,2045.00,2319
8148,2085,2086.00,2379.5
8075,2064,2075.00,2374
8090,2075,2095.00,2401
8049,2045,2087.00,2375.5
8045,2035,2080.00,2385.5
8214.5,2085,2142.00,2448
8215,2110.5,2160.00,2441
8189,2091.5,2149.00,2436
8264.5,2117,2165.00,2452
8285,2116,2170.00,2454
8230,2095,2161.00,2435
8252,2105,2160.00,2417
8240,2105,2184.00,2419
8257,2117,2210.50,2416
8215,2099.5,2190.00,2386
8260,2130,2213.00,2434
8234.5,2159.5,2192.00,2410
8172.75,2165,2189.00,2413
8111,2130,2167.00,2416
8105,2114.5,2148.00,2394
8038,2109,2159.00,2380
7874.5,2086,2108.50,2329.5
7848,2064.5,2104.00,2334
7885,2049.5,2094.00,2312
7793,2014,2078.00,2289
7863.5,2016.5,2088.00,2316
7850,2004.5,2080.00,2290
7664,1961,2018.50,2235
7741,1972.5,2013.00,2244.5
7744.5,1984.5,2008.00,2222.5
7733,1969,1991.00,2217
7710,1955,1979.00,2183
7744.5,1968,1989.50,2211
7701,1940,1937.50,2189.5
7839,1978,1997.00,2233
7807,1988,2001.00,2247
7790,1978,1982.50,2254
7811,1984.5,1979.50,2253
7589.5,1938,1927.00,2184.5
7568,1945.5,1920.50,2179.5
7604,1943,1932.50,2185
7626,1936.5,1950.00,2208
7655,1938,1944.00,2185
7639,1931.5,1939.00,2190
7660.5,1927,1940.00,2184
7600,1900,1885.00,2108
7613,1910,1898.00,2114.5
7468.5,1892,1875.00,2098
7436,1877,1868.50,2064
7373,1862,1870.50,2061
7412,1874.5,1881.00,2068
7490,1899,1897.00,2065
7515,1895.5,1908.00,2075
7575,1912.5,1923.00,2113
7544.5,1889,1889.00,2084
7545,1876,1877.00,2068
7155,1841.5,1848.50,2007
7250,1892,1897.00,2059
7090,1887,1871.00,2037
6995,1900.5,1879.00,2012
7009,1900,1894.00,2022
6915.5,1872,1874.50,2015
6840,1888,1869.00,2001.5
6973,1901,1897.50,2031
7055,1915,1917.50,2058
7099.5,1922,1918.50,2055.5
7116.5,1881,1896.50,2037
7105,1886,1887.00,2037.5
6906,1828,1837.00,1989
6899,1836.5,1854.50,1995
7150,1861,1855.00,1980
7270,1876,1875.00,2035
7354.5,1913,1907.50,2065
7335,1896,1881.50,2030
7376,1874.5,1868.00,2000
7378,1855,1858.00,1997
7225,1852,1848.00,1988
7140,1834,1824.00,1959
7125,1834,1820.00,1967
7349.5,1863,1843.00,2010
7296,1845.5,1837.50,2008
7408,1867.5,1864.00,2050
7505,1870.5,1873.50,2062
7319.5,1857,1853.00,2031
7275,1847,1856.50,2057.5
7299,1843.5,1856.00,2098
7235,1857,1873.50,2113
7285,1889,1903.50,2145
7270,1903,1913.00,2186
7365,1919,1940.50,2207
7370,1930,1943.00,2212
7460,1966.5,1957.50,2244
