Ticker,Name,MatchesUnique,MatchesTotal,Keywords
600728,SUNTEK TECHNOLOGY CO LTD,0,0
1321,OCEAN PLASTICS CO LTD,0,0
2208,BOURBON CORP,1,1,oil
157,NATURAL BEAUTY BIO-TECH LTD,0,0
IFHR,RHINO HUMAN RESOURCES INC,0,0
GBA,GRANDBRIDGE LTD,1,1,oil
MCTYF,MICROPLANET TECHNOLOGY CORP,1,1,electric
UXC,UXC LTD,0,0
VCO,VINA CONCHA Y TORO SA,0,0
SFN,STANFIELD FUNDS MANAGEMENT,0,0
NHQ,SPHERE RESOURCES INC,0,0
UE1,UNIVERSAL ELECTRONICS INC,0,0
004365,SEBANG CO LTD,0,0
ACC,AMICA MATURE LIFESTYLES INC,0,0
CDA,CODAN LTD,1,1,gold
600117,XINING SPECIAL STEEL CO LTD,3,3,alloy,steel,iron
DRGG,DRAGON INTERNATIONAL GROUP,0,0
AGLP,AGRITECH LTD,0,0
058370,GUMSUNG TECH CO LTD,0,0
684,ALLAN INTL HLDGS LTD,0,0
KOBAY,KOBAY TECHNOLOGY BHD,1,1,oil
HSTH,HS3 TECHNOLOGIES INC,0,0
3439,MITSUCHI CORPORATION,0,0
GMG,GOODMAN CO LTD,0,0
3681,SUYIN CORPORATION,1,1,electric
AFX,CARL ZEISS MEDITEC AG,0,0
ADNC,AL-DAR NATL REAL ESTATE CO,0,0
SDF,K&S AG,2,2,grade,silver
SHET,SHETRON LTD,1,1,battery
COPY,COPYTELE INC,0,0
HELOF,HELIO RESOURCE CORP,1,1,gold
STI,STRATEGIC RESOURCES INTL INC,0,0
SVU,SPUR VENTURES INC,0,0
6703,OKI ELECTRIC INDUSTRY CO LTD,2,2,electric,grade
224,PIONEER GLOBAL GROUP LTD,1,1,grade
MK2,MAKITA CORP,0,0
EASONR,EASON PAINT PCL,1,1,oil
OPA,ORPEA,0,0
ACOA,ATLAS COPCO AB,0,0
WD9,NEW CENTURY BANCORP INC,2,2,semiconductors,oil
CPM,JK PAPER LTD,0,0
007700,F&F CO LTD,0,0
KMRPF,KENMARE RESOURCES PLC,0,0
TULS,TULSI EXTRUSIONS LTD,0,0
HFMA,HAFSLUND ASA,0,0
FDL,FINDEL PLC,0,0
STA,SANATANA RESOURCES INC,0,0
LTR,LIONTOWN RESOURCES LTD,3,3,lithium,grade,battery
MX,METHANEX CORP,0,0
TVIPAZ,TVI PACIFIC INC,5,5,zinc,gold,silver,nickel,copper
GRKP,GRAUBUENDNER KANTONALBK,0,0
UBSBF,UNIQUE BROADBAND SYSTEMS INC,0,0
DLKVRA,DALEKOVOD,2,2,electric,steel
GHOS,GULF HOTELS (OMAN),0,0
LAC,LITHIUM AMERICAS CORP,1,1,lithium
NGF,NORTON GOLD FIELDS LTD,1,1,gold
BLL,BALL CORP,1,1,aluminum
8057,UCHIDA YOKO CO LTD,0,0
YRBA,YORBEAU RESOURCES INC,0,0
FQX,FOREST LABORATORIES,0,0
600279,CHONGQING GANGJIU CO LTD,0,0
AFT,AFT CORP LTD,0,0
GXR,GEOROX RESOURCES INC,1,1,oil
MUT,MULTI CHANNEL SOLUTIONS LTD,0,0
PK5,BASILEA PHARMACEUTICA,0,0
PURE,PURECIRCLE LTD,0,0
GKR,GREENOCK RESOURCES INC,0,0
LNA,LE NOBLE AGE,0,0
XKE,KEATON ENERGY HOLDINGS LTD,0,0
ENRJ,ENERJEX RESOURCES INC,1,1,oil
A2R,ACCENT RESOURCES NL,2,2,iron,steel
CFCB,CFC STANBIC HOLDINGS LTD,2,2,platinum,gold
PTI,PATHEON INC,0,0
PKIN,PEKIN LIFE INSURANCE CO,0,0
